Rank,Time,Athlete,Country,Date,Place
1,03:26.0,Hicham El Guerrouj, Morocco,14-Jul-98,Rome
2,03:26.3,Bernard Lagat, Kenya,24-Aug-01,Brussels
3,03:26.7,Asbel Kiprop, Kenya,17-Jul-15,Monaco
4,03:27.4,Noureddine Morceli, Algeria,12-Jul-95,Nice
5,03:27.6,Silas Kiplagat, Kenya,18-Jul-14,Monaco
6,03:28.1,Noah Ngeny, Kenya,11-Aug-00,Zürich
7,03:28.4,Timothy Cheruiyot, Kenya,20-Jul-18,Monaco
8,03:28.7,Jakob Ingebrigtsen, Norway,14-Aug-20,Monaco
9,03:28.7,Taoufik Makhloufi, Algeria,17-Jul-15,Monaco
10,03:28.8,Abdalaati Iguider, Morocco,17-Jul-15,Monaco
11,03:28.8,Elijah Manangoi, Kenya,21-Jul-17,Monaco
12,03:28.8,Mo Farah, United Kingdom,19-Jul-13,Monaco
12,03:28.8,Ronald Kwemoi, Kenya,18-Jul-14,Monaco
14,03:28.9,Ferm?n Cacho, Spain,13-Aug-97,Zürich
15,03:29.0,Mehdi Baala, France,5-Sep-03,Brussels
16,03:29.0,Daniel Kipchirchir Komen, Kenya,14-Jul-06,Rome
17,03:29.1,Rashid Ramzi, Bahrain,14-Jul-06,Rome
18,03:29.2,Venuste Niyongabo, Burundi,22-Aug-97,Brussels
19,03:29.3,William Chirchir, Kenya,24-Aug-01,Brussels
20,03:29.5,Said Aouita, Morocco,23-Aug-85,Berlin
21,03:29.5,Daniel Komen, Kenya,16-Aug-97,Monaco
22,03:29.5,Augustine Choge, Kenya,14-Jun-09,Berlin
22,03:29.5,Jake Wightman, United Kingdom,14-Aug-20,Monaco
24,03:29.5,Caleb Ndiku, Kenya,19-Jul-13,Monaco
25,03:29.5,Ali Saidi-Sief, Algeria,4-Jul-01,Brussels
